"plezalisce","regija","drzava"
Adlitzgräben,None,Avstrija
Arena,None,Avstrija
Arnoldstein - Kindergarten,None,Avstrija
Bad Eisenkappel / Železna Kapla,None,Avstrija
Bergstation,None,Avstrija
Breitwand,None,Avstrija
Ehnbachklamm,None,Avstrija
Eitweg St. Andrä,None,Avstrija
Ewige Jagdgründe,None,Avstrija
Göltschach / Golšovo,None,Avstrija
Grazer Bergland,None,Avstrija
Hunerkogel,None,Avstrija
Jammerwadl,None,Avstrija
Kanzianiberg / Škocjanska gora,None,Avstrija
Košutnikov turn,None,Avstrija
Lavamünd / Labot,None,Avstrija
Maltatal - Kreuzwand,None,Avstrija
Martinswand,None,Avstrija
Mixnitz,None,Avstrija
Nadelspitz,None,Avstrija
Nasenwand,None,Avstrija
Oberried,None,Avstrija
Rabenstein,None,Avstrija
Raunjak,None,Avstrija
Rosenbach / Podrožca,None,Avstrija
Rotelstein,None,Avstrija
Sapotniza / Sopotnica,None,Avstrija
Scharnitz Am Sportplatz,None,Avstrija
Scharnitz Sonnenplatten,None,Avstrija
Seebichlhof-Kraig,None,Avstrija
Simmering,None,Avstrija
Thalhofergrat,None,Avstrija
Töschling,None,Avstrija
Tumpen (Engelswand),None,Avstrija
Wiesensee,None,Avstrija
Woelfnitz - Eibischwandl,None,Avstrija
Kameni most,None,Bosna in Hercegovina
Pecka,None,Bosna in Hercegovina
Suturlija,None,Bosna in Hercegovina
Alkazar,None,Češka
Piljitor,None,Črna gora
Ailefroide,None,Francija
Ailefroide - Les pettites dalles,None,Francija
Alcatraz,None,Francija
Annot,None,Francija
Bauchet,None,Francija
Bavella,None,Francija
Buoux,None,Francija
Calanques,None,Francija
Capu Sacru,None,Francija
Castillon,None,Francija
Ceuse,None,Francija
Chamandrin,None,Francija
Chapelle Saint-Gras,None,Francija
Châteauvert (Vallon Sourn),None,Francija
Chisa,None,Francija
Cimai,None,Francija
Claret,None,Francija
Club house,None,Francija
Col du Chat,None,Francija
Conca,None,Francija
E Radule,None,Francija
Entraygues,None,Francija
Falaise des ecureuils,None,Francija
Fauge 3,None,Francija
Fessourier,None,Francija
Fournel,None,Francija
Francardu,None,Francija
Gorbio,None,Francija
Gorges du Loup - Cayenne,None,Francija
Gorges du Loup - Deverse,None,Francija
Gorges du Loup - Mesa Verde,None,Francija
Gorges du Loup - The Jungle,None,Francija
Grand Bois,None,Francija
Hulk,None,Francija
I curriali,None,Francija
Jardiland 2,None,Francija
Jo Trango,None,Francija
Klingenthal,None,Francija
La Balme,None,Francija
La Bruza,None,Francija
La Chaise du Diable,None,Francija
La Culaz,None,Francija
La Goulandière,None,Francija
La Joux,None,Francija
La Turbie,None,Francija
Langenfels,None,Francija
Le Pescher,None,Francija
Le Rif dOriol,None,Francija
Le rocher du Falkenstein,None,Francija
Le Tuet,None,Francija
Les Ayes,None,Francija
Les Branches,None,Francija
Les Chavants,None,Francija
Les Collets,None,Francija
Les Gaillands,None,Francija
Les Iles,None,Francija
Les Tines,None,Francija
Les Traverses et la Vignette,None,Francija
LOrtale,None,Francija
Lumiu,None,Francija
Mont-Dauphin Fort,None,Francija
Monte Canarincu,None,Francija
Noir desir,None,Francija
Oreac,None,Francija
Orgui di u san petru,None,Francija
Orpierre,None,Francija
Peillon - Chez Pierrot,None,Francija
Peillon - Derriere le Bloc,None,Francija
Peillon - La grotte,None,Francija
Peillon - Memorial Paul Arene,None,Francija
Picellu,None,Francija
Portu,None,Francija
Restonica,None,Francija
Rocher Baron,None,Francija
Rocher des Gozzi,None,Francija
Rocher Gafouille et Les Aues,None,Francija
Rocher Qui Répond,None,Francija
Rue des masques,None,Francija
Rupione,None,Francija
Russan,None,Francija
Saint Cezaire,None,Francija
Saint Cezaire - Les Malines,None,Francija
Saint Leger du Ventoux,None,Francija
Sari,None,Francija
Seynes,None,Francija
