"ime", "drzava", "st_smeri", "razpon_ocen", "najlazja", "najtezja"
Adlitzgräben,Avstrija,44,6a do 8a+,6a,8a+
Arena,Avstrija,6,6a do 7b,6a,7b
Arnoldstein - Kindergarten,Avstrija,25,4a do 7a+,4a,7a+
Bad Eisenkappel / Železna Kapla,Avstrija,94,4a do 7c+/8a,4a,7c+/8a
Bergstation,Avstrija,8,5a do 7c+,5a,7c+
Breitwand,Avstrija,1,5c+ (VI-),5c+,5c+
Ehnbachklamm,Avstrija,10,5a do 6a,5a,6a
Eitweg St. Andrä,Avstrija,,,,
Ewige Jagdgründe,Avstrija,55,5b do 8a,5b,8a
Göltschach / Golšovo,Avstrija,35,6b do 8b,6b,8b
Grazer Bergland,Avstrija,6,4b do 6b+ (IV do VII),4b,4b
Hunerkogel,Avstrija,5,5b do 6c+ (V do VIII-),5b,5b
Jammerwadl,Avstrija,,,,
Kanzianiberg / Škocjanska gora,Avstrija,36,4a do 8a,4a,8a
Košutnikov turn,Avstrija,1,6c,6c,6c
Lavamünd / Labot,Avstrija,16,4a+/b do 5c+,4a+/b,5c+
Maltatal - Kreuzwand,Avstrija,9,3 do 6c,3,6c
Martinswand,Avstrija,13,3 do 6b+,3,6b+
Mixnitz,Avstrija,,,,
Nadelspitz,Avstrija,4,7a do 7b,7a,7b
Nasenwand,Avstrija,13,6a do 7c,6a,7c
Oberried,Avstrija,7,4a do 6a+,4a,6a+
Rabenstein,Avstrija,70,4b+/c do 8a,4b+/c,8a
Raunjak,Avstrija,1,7a,7a,7a
Rosenbach / Podrožca,Avstrija,26,4c do 7c+/8a,4c,7c+/8a
Rotelstein,Avstrija,3,4a do 6a+ (IV- do VI+),4a,4a
Sapotniza / Sopotnica,Avstrija,6,6a+ do 7a+,6a+,7a+
Scharnitz Am Sportplatz,Avstrija,22,3 do 6b,3,6b
Scharnitz Sonnenplatten,Avstrija,15,3 do 6b,3,6b
Seebichlhof-Kraig,Avstrija,37,5a do 8a+,5a,8a+
Simmering,Avstrija,15,4a do 6c,4a,6c
Thalhofergrat,Avstrija,,,,
Töschling,Avstrija,23,4a do 7b,4a,7b
Tumpen (Engelswand),Avstrija,75,3 do 8a+,3,8a+
Wiesensee,Avstrija,25,3 do 7a+,3,7a+
Woelfnitz - Eibischwandl,Avstrija,15,3 do 6a,3,6a
Kameni most,Bosna in Hercegovina,2,5a do 5a,5a,5a
Pecka,Bosna in Hercegovina,76,4b do 8c,4b,8c
Suturlija,Bosna in Hercegovina,,,,
Alkazar,Češka,3,4a do 5b,4a,5b
Piljitor,Črna gora,20,2 do 7b+,2,7b+
Ailefroide,Francija,14,6a do 7b,6a,7b
Ailefroide - Les pettites dalles,Francija,21,3 do 7b,3,7b
Alcatraz,Francija,8,5b do 7a,5b,7a
Annot,Francija,8,5b do 6b/b+,5b,6b/b+
Bauchet,Francija,13,5b+ do 7b+,5b+,7b+
Bavella,Francija,31,3 do 6c+,3,6c+
Buoux,Francija,4,6b+ do 7a,6b+,7a
Calanques,Francija,25,5c do 7c,5c,7c
Capu Sacru,Francija,5,3 do 5c,3,5c
Castillon,Francija,62,6b/b+ do 9a,6b/b+,9a
Ceuse,Francija,193,5b do 8a+,5b,8a+
Chamandrin,Francija,11,4b do 5c,4b,5c
Chapelle Saint-Gras,Francija,6,5c do 6c,5c,6c
Châteauvert (Vallon Sourn),Francija,230,2B do 8b+,2B,8b+
Chisa,Francija,11,3 do 6c,3,6c
Cimai,Francija,10,6b do 7b,6b,7b
Claret,Francija,7,6a do 6b+,6a,6b+
Club house,Francija,7,5c do 6b+,5c,6b+
Col du Chat,Francija,12,6a do 7b+,6a,7b+
Conca,Francija,3,4a do 6c+,4a,6c+
E Radule,Francija,11,4c do 6b,4c,6b
Entraygues,Francija,5,6b do 7b,6b,7b
Falaise des ecureuils,Francija,8,6a do 7a,6a,7a
Fauge 3,Francija,5,4b do 6a,4b,6a
Fessourier,Francija,44,6a do 8a,6a,8a
Fournel,Francija,8,4c do 5c,4c,5c
Francardu,Francija,17,4b do 7b,4b,7b
Gorbio,Francija,53,5b do 7c,5b,7c
Gorges du Loup - Cayenne,Francija,24,6c do 8b,6c,8b
Gorges du Loup - Deverse,Francija,9,6b do 8a+,6b,8a+
Gorges du Loup - Mesa Verde,Francija,31,6c do 8b,6c,8b
Gorges du Loup - The Jungle,Francija,3,6c+ do 7a,6c+,7a
Grand Bois,Francija,33,6b+ do 8a,6b+,8a
Hulk,Francija,4,5c do 6b+,5c,6b+
I curriali,Francija,22,3 do 8a,3,8a
Jardiland 2,Francija,3,6a do 6b,6a,6b
Jo Trango,Francija,2,6b do 6c+,6b,6c+
Klingenthal,Francija,6,6a do 7a,6a,7a
La Balme,Francija,117,6a do 8c+,6a,8c+
La Bruza,Francija,16,5c do 7c+,5c,7c+
La Chaise du Diable,Francija,14,6a do 7a+,6a,7a+
La Culaz,Francija,8,5a do 6b,5a,6b
La Goulandière,Francija,3,6a do 6b+,6a,6b+
La Joux,Francija,13,4b do 6b+,4b,6b+
La Turbie,Francija,179,4c do 8b+,4c,8b+
Langenfels,Francija,12,6a do 7a+,6a,7a+
Le Pescher,Francija,2,6a do 6c,6a,6c
Le Rif d'Oriol,Francija,23,5b+ do 7c,5b+,7c
Le rocher du Falkenstein,Francija,5,5a do 5c,5a,5c
Le Tuet,Francija,15,4a do 6b+,4a,6b+
Les Ayes,Francija,23,5c do 7b+,5c,7b+
Les Branches,Francija,3,6c do 7c+,6c,7c+
Les Chavants,Francija,11,3 do 5c,3,5c
Les Collets,Francija,21,4b do 5c,4b,5c
Les Gaillands,Francija,17,4c do 6b+,4c,6b+
Les Iles,Francija,14,3 do 6a+,3,6a+
Les Tines,Francija,4,4c do 6a+,4c,6a+
Les Traverses et la Vignette,Francija,24,5a do 8a,5a,8a
L'Ortale,Francija,44,3 do 7c,3,7c
Lumiu,Francija,14,4a do 6b+,4a,6b+
