"ime","plezalisce","ocena","dolzina"
Fahrkarte ins Jenseits,Adlitzgräben,6b+,10 m
Rechtsaußen,Adlitzgräben,6a+,10 m
Mittelstürmer,Adlitzgräben,6b+,10 m
Wüstensturm,Adlitzgräben,6b+,12 m
Magisches Müsl,Adlitzgräben,6b,12 m
SZ-Fury,Adlitzgräben,6b+,12 m
Alltag in Franken,Adlitzgräben,6b+,12 m
Frisch geschotter,Adlitzgräben,6b+,15 m
Holy shit,Adlitzgräben,7b+,20 m
Shuffle town,Adlitzgräben,7c+,20 m
Existenzialminimum,Adlitzgräben,7a,18 m
Existenzialminimum Verlängerung,Adlitzgräben,7c+,25 m
Streetfighter,Adlitzgräben,7c,10 m
Wenigstens Flügel,Adlitzgräben,8a,25 m
Hau den Lukas,Adlitzgräben,7a+,16 m
Suhgurim,Adlitzgräben,7c+,12 m
Ora et praeserva Verlängerung,Adlitzgräben,7b+,18 m
Ora et praeserva,Adlitzgräben,7b,10 m
Orkrist,Adlitzgräben,7b+,22 m
Panem et circenses,Adlitzgräben,7a+,12 m
Cheap sunglasses,Adlitzgräben,7c+,22 m
Wolken im Kaffee,Adlitzgräben,7a,15 m
King kong,Adlitzgräben,7a,15 m
Gozilla,Adlitzgräben,7b,15 m
Out of work wie sichs gehört,Adlitzgräben,8a,16 m
Back to work,Adlitzgräben,8a+,16 m
bloc rockin` beats,Adlitzgräben,8a+,16 m
Liebling der Schwerkraft,Adlitzgräben,6c+,8 m
Hollaräääduliööö,Adlitzgräben,6b+,12 m
Auch ein Philosoph ernährt sich heterotr,Adlitzgräben,7b,18 m
Tschak Bumm,Adlitzgräben,7a,20 m
Im Schatten der Fledermaus,Adlitzgräben,7a+,20 m
Bis zum bitteren Ende,Adlitzgräben,7a+,18 m
Self destroying prophecy,Adlitzgräben,8a,25 m
Ohne Erfolg keine Missgunst,Adlitzgräben,8a+,25 m
Einstürzende Neubauten,Adlitzgräben,6b+,22 m
Nix chauvi,Adlitzgräben,6c,22 m
Schwesterlein komm tanz mit mir,Adlitzgräben,6b+,22 m
Traum ewiger Finsternis,Adlitzgräben,6a,20 m
Der lange Weg zur Müdigkeit,Adlitzgräben,6b,22 m
Fenrir,Adlitzgräben,7a,30 m
Uiljenspiege,Adlitzgräben,6b,15 m
Necrosanct,Adlitzgräben,7b,35 m
Vielharmoniker,Adlitzgräben,6b+,18 m
Mord ist mein Hobby,Arena,6c+,18 m
The big easy,Arena,6a,18 m
K wie kult,Arena,7b,10 m
Greenpeace,Arena,7b,12 m
Pinguin Cafe,Arena,6b,16 m
Der Gärtner ist immer der Mörder,Arena,6c,20 m
Kinderspiel,Arnoldstein - Kindergarten,4c,9 m
Boulder,Arnoldstein - Kindergarten,7a+,4 m
Ohne Baum,Arnoldstein - Kindergarten,6b+/c,10 m
Harte Nuss,Arnoldstein - Kindergarten,7a,9 m
Taube Nuss,Arnoldstein - Kindergarten,6a+,8 m
Quereinsteiger,Arnoldstein - Kindergarten,4c,11 m
Adam the ant,Arnoldstein - Kindergarten,4b,11 m
Nasenbaer,Arnoldstein - Kindergarten,4c,11 m
Al Bundy,Arnoldstein - Kindergarten,4b,11 m
Dumpfbacke,Arnoldstein - Kindergarten,4a,11 m
Fix & Foxi,Arnoldstein - Kindergarten,5b,10 m
Max & Moritz,Arnoldstein - Kindergarten,5a,10 m
Goofy,Arnoldstein - Kindergarten,4a,11 m
Snoopy,Arnoldstein - Kindergarten,4c,11 m
Garfield,Arnoldstein - Kindergarten,5b,12 m
Beelzebub,Arnoldstein - Kindergarten,6a+,12 m
Flower Power,Arnoldstein - Kindergarten,6b,13 m
Aufriss,Arnoldstein - Kindergarten,6b,13 m
Fixies Ultra,Arnoldstein - Kindergarten,6b+,13 m
Stehgreif,Arnoldstein - Kindergarten,6b+,13 m
Kunststueck,Arnoldstein - Kindergarten,6a+,14 m
Charlie Brown,Arnoldstein - Kindergarten,5a,14 m
Daniel De,Arnoldstein - Kindergarten,5b+/c,14 m
Clever,Arnoldstein - Kindergarten,6a,15 m
Smart,Arnoldstein - Kindergarten,5c,15 m
Keine Reise,Bad Eisenkappel / Železna Kapla,5b+,10 m
Kein aber fein,Bad Eisenkappel / Železna Kapla,4b,10 m
Halb so wild,Bad Eisenkappel / Železna Kapla,4a,10 m
Klettermassaker (L1),Bad Eisenkappel / Železna Kapla,4c,10 m
Klettermassaker,Bad Eisenkappel / Železna Kapla,6c,15 m
Big Flake (L1),Bad Eisenkappel / Železna Kapla,5b,10 m
Big Flake,Bad Eisenkappel / Železna Kapla,7a+,18 m
Magic Hole,Bad Eisenkappel / Železna Kapla,5b/b+,10 m
Golden Eye,Bad Eisenkappel / Železna Kapla,6a,10 m
Die Nachtfalte (L1),Bad Eisenkappel / Železna Kapla,5a+,10 m
Die Nachtfalte,Bad Eisenkappel / Železna Kapla,7a+,15 m
Schleichender Löwe (L1),Bad Eisenkappel / Železna Kapla,4c,10 m
